Tree_Height_m,Leaf_Size,Soil_Quality,Rainfall_mm,Sunlight_Hours,Has_Fruit,Is_Conifer,Forest_Density,Tree_Age,Survival_in_Forest
18.6,large,2,1573,7.9,0,0,150,140,0
16.9,large,6,1135,5.6,0,1,50,49,0
31.7,medium,8,1830,6.8,1,0,171,195,1
11.1,small,3,1868,6,1,1,267,130,0
12.8,medium,3,1762,9.7,1,0,245,6,0
25.1,small,5,1798,9.5,0,1,260,50,1
16.8,medium,9,1392,4.6,0,0,89,149,1
20,large,3,1128,7.2,0,1,205,173,0
18.7,medium,7,1153,6.3,0,1,107,186,1
22.7,medium,5,846,10.6,1,1,163,171,0
31.3,small,2,1595,5.3,0,1,74,15,0
20.7,large,8,1467,11.2,0,1,111,146,1
25.2,small,9,1324,7.9,0,1,109,23,1
5,small,6,500,5.7,0,0,204,16,0
19.6,small,2,1001,6.6,1,0,198,139,0
13.3,small,2,1948,6.4,0,0,167,96,1
10.2,medium,5,1234,5.5,1,0,69,130,0
13,medium,6,1644,8.2,0,1,131,171,1
17.3,small,6,944,5.5,0,0,105,14,0
27.3,small,3,2075,3.6,0,0,202,106,0
9.4,small,6,1442,7.2,1,1,221,167,1
20.2,small,3,1616,4.4,0,0,213,89,0
16.1,small,7,2430,6.5,0,0,105,105,0
17.4,medium,8,2107,6.2,1,1,50,100,0
28,small,7,1377,6.3,1,1,50,182,1
24.3,small,1,1263,12,0,1,235,10,0
30.7,small,10,1370,8.1,1,1,126,176,1
18.8,medium,1,1704,8.5,1,1,105,164,1
14.4,small,10,1458,4.4,0,1,249,163,0
18.2,small,1,1342,6.7,1,0,226,83,0
21.9,large,6,2087,8.4,0,1,151,104,1
21.4,small,2,1454,6,0,0,132,74,0
11.3,medium,1,2420,9.8,1,0,142,51,0
20.7,medium,7,1536,5.6,0,1,164,176,1
21.8,small,8,2214,7.4,1,1,246,102,1
40.1,medium,2,1643,6.8,1,0,175,145,1
35,medium,10,1885,8.3,0,1,194,21,1
13.2,large,4,1210,6.7,0,1,220,158,0
17.7,small,4,1158,7.5,0,1,80,132,0
8.3,small,3,1684,7.5,1,0,195,200,1
15.3,small,5,1895,6.5,0,1,132,27,1
22.5,medium,2,1516,9,0,0,50,109,0
29.6,medium,5,985,8.5,1,1,50,103,0
14.2,small,3,956,7.8,1,0,89,108,0
14.8,small,1,929,7.1,1,1,182,11,0
5,large,4,793,9.6,0,0,157,95,0
18.7,small,7,1544,7.5,1,0,161,60,1
11.5,medium,8,1950,7.4,1,0,267,124,0
15.8,medium,4,1495,8.2,1,1,74,47,1
13,small,4,596,11.4,0,0,148,88,0
19.2,small,8,1424,5.3,1,1,168,125,1
5.9,small,7,1435,9.5,0,0,106,13,1
8.3,large,9,2338,4.2,1,0,152,158,0
37,small,10,917,8.4,0,1,54,144,1
9.7,small,9,1344,11.2,0,1,235,12,0
11.2,small,10,2182,9,1,0,109,13,1
34.7,small,5,1680,8.3,1,0,272,171,1
43.2,medium,4,1725,6.9,1,0,148,57,1
10.6,small,4,1546,8.1,0,1,212,173,1
17.1,medium,3,1632,7.5,1,1,147,100,1
22.7,medium,8,1811,6.4,0,0,148,69,1
33.8,large,8,1176,7.4,1,1,115,55,1
12.1,small,9,1851,8.4,1,0,157,132,1
18,large,2,951,6.5,1,0,169,22,0
26.2,medium,5,1631,6.4,1,1,103,81,1
23.5,small,3,1571,5.3,1,1,142,70,0
17,medium,9,1253,8.8,1,0,113,31,1
18.9,large,3,1491,9.1,0,1,288,71,1
9,small,2,1251,8.5,0,0,145,106,1
18.1,large,6,1071,9.9,0,1,243,136,1
17.9,medium,9,1359,8.2,1,0,138,18,1
21.9,medium,10,1058,8.8,1,0,166,175,1
15.6,large,1,1629,8.6,0,0,71,176,0
23.8,small,4,1040,7.8,0,1,123,139,1
28.1,large,2,1785,6.9,0,1,163,185,1
21.2,small,4,1027,12,0,0,245,86,0
22.8,medium,6,1273,7.1,0,1,163,165,1
20.4,medium,3,1250,6.7,1,1,233,146,1
20,small,1,2030,8.9,1,0,188,113,0
14.2,medium,6,1632,8.5,0,1,248,36,1
22.5,small,1,1415,5.2,0,1,146,112,0
19.2,small,3,1699,10.2,1,0,293,181,0
36.7,small,1,657,7.8,1,0,121,197,0
32.6,small,1,1483,5.8,1,0,104,90,0
23.1,small,5,2299,10.4,0,1,77,50,0
13.9,small,9,1553,9.3,0,1,290,150,1
11.1,medium,8,1527,5.5,0,0,199,16,0
29.5,medium,1,1719,11.6,1,0,130,31,0
22.1,medium,1,1858,9.3,1,0,225,113,0
23.8,small,4,701,8,1,0,191,199,1
6,large,7,827,11.2,0,0,268,66,0
27.4,medium,8,1584,8.3,0,0,57,89,0
23.6,small,9,1214,7.9,1,1,134,65,1
11.1,small,4,2025,6.7,1,0,122,89,0
16.2,medium,2,1374,9.2,1,1,50,2,1
22.1,small,1,726,9,0,0,214,119,0
20.4,medium,2,993,8,0,0,134,120,0
17.7,large,1,500,6.4,0,1,194,64,0
19.2,small,9,1406,8.3,1,1,292,53,1
18,small,3,1425,7.9,1,1,129,153,1
21.2,large,9,1330,5.3,1,1,125,38,1
31.8,medium,6,1932,5.1,0,0,157,10,0
5,small,6,1979,9.1,1,0,209,9,0
18.1,large,5,1432,2.8,0,1,116,177,0
21.4,large,9,646,8.4,1,1,112,73,0
22.4,medium,1,1747,7,1,1,213,21,0
17,medium,1,1722,10.6,1,1,173,176,0
5.9,small,5,1624,7,1,0,50,30,1
22.6,small,4,1893,9.3,1,0,76,68,1
33.8,medium,6,1034,7.2,0,0,240,5,0
7.7,small,8,2304,8.2,0,1,174,136,1
26.9,medium,6,1116,9.5,1,1,104,140,1
17.4,large,3,1800,7.1,1,0,140,152,1
19.5,small,4,825,10,0,1,151,53,1
11.6,medium,8,1128,6,1,1,194,66,1
17.3,small,3,2107,8.6,0,0,69,188,0
30.4,large,6,1396,9.8,1,0,100,165,0
24.7,small,6,1836,9.3,0,1,166,8,1
33.9,medium,8,1595,11.8,1,1,144,139,1
29.4,medium,8,1458,6.5,0,0,184,163,1
23.5,small,5,2046,5.2,0,0,76,112,0
34,medium,4,1405,6,1,0,171,128,0
23.5,medium,4,788,9.3,1,1,215,1,0
26.6,medium,5,1179,9,0,0,179,7,1
17.6,medium,3,1720,8.2,1,1,158,8,0
20.5,large,7,1658,5.8,0,0,144,32,0
14.4,medium,3,873,9.5,0,0,100,199,0
27.9,medium,7,1210,5.6,0,0,146,127,0
10.6,small,8,1267,10.3,0,1,226,157,1
26.3,medium,10,1354,12,1,0,143,60,1
18.5,medium,2,950,8.7,1,1,97,188,0
29.4,medium,8,1249,9.2,0,0,120,40,1
26,small,1,1209,7,0,1,162,181,1
34.6,large,4,1809,4.4,1,0,128,7,0
25.8,small,2,1824,6.8,1,0,179,5,0
7.4,medium,2,1442,5.8,0,1,181,16,0
19.5,small,2,1343,5.1,0,1,203,159,0
10.6,large,1,1556,11.4,0,1,235,52,0
15.9,small,9,1173,8.5,0,0,210,91,1
32.1,small,1,1041,8.8,1,1,94,95,0
25.1,large,4,1124,7.4,1,0,96,158,1
14.4,large,7,1246,7.7,1,1,145,70,1
11.9,small,10,1035,9.9,1,1,123,2,1
20.3,medium,9,1565,7.9,0,1,82,78,1
10.3,medium,2,1792,9.1,1,1,123,58,1
14.6,large,10,865,7.6,1,1,122,147,1
22.5,small,7,1510,7.3,1,1,110,151,1
29.2,medium,2,1412,5.2,0,0,131,19,0
24.9,medium,5,1637,4,1,0,221,159,0
5,medium,10,1495,7.5,0,1,162,15,1
22.4,medium,4,919,8.1,1,1,298,124,0
20.6,medium,2,995,5.4,1,1,160,78,0
23.3,small,9,1512,7.9,1,1,133,61,1
32.9,large,10,1912,8.1,1,0,150,97,1
5,large,10,614,3.7,1,0,165,63,0
15.3,medium,10,1638,6.2,0,1,176,159,1
24.7,small,9,1976,8.8,1,1,275,194,1
7.3,small,5,1439,8.8,1,0,99,164,0
31.8,medium,2,1720,5.7,0,0,202,88,0
22.9,small,7,1219,8.3,0,0,162,101,1
26.8,large,3,1452,10,0,0,56,90,0
15.4,small,5,852,9.6,1,1,196,159,0
26.5,medium,7,562,7.8,1,1,226,111,0
28.5,large,10,1877,7.1,1,1,99,94,1
21.9,small,3,1106,6.7,1,1,149,82,1
21.9,small,3,1318,8.9,1,0,50,76,1
22.2,medium,8,945,8.4,1,0,74,111,1
13.1,medium,1,936,9.3,0,0,213,138,0
18.8,medium,6,1430,8.3,0,0,122,87,1
18.8,medium,8,1208,9.6,0,1,83,162,1
23.1,large,6,1651,8.2,1,0,164,166,1
28,medium,4,1681,9.6,0,0,119,86,1
11.5,small,9,1628,9.7,0,1,122,182,1
19,small,4,1595,6.4,0,1,194,35,1
31.9,small,8,2131,4.4,1,0,80,187,0
14.1,small,5,1073,11.1,1,0,96,59,0
13.4,small,1,1478,8.5,1,1,159,113,1
21.6,medium,6,1953,4.6,0,1,208,57,0
26.8,small,1,2006,6.6,1,1,224,89,0
20.1,large,10,931,9.5,1,0,110,69,1
30.6,small,7,1375,7.4,1,0,206,142,1
26.9,small,4,2043,7,0,0,103,17,0
26.7,medium,5,1703,10.8,0,1,260,168,0
24.4,large,7,1578,5.9,1,1,82,181,0
38.6,small,3,1413,6.4,0,1,230,113,0
18.4,small,3,1346,8.4,1,1,111,110,0
5,small,5,1615,8.8,1,1,271,140,1
32.8,medium,3,1399,9,0,0,185,40,1
16.3,medium,8,1483,9.8,1,0,89,150,1
20.9,small,2,1531,8.4,0,1,119,44,1
30.5,small,9,1229,9,1,0,197,136,0
7.2,medium,4,1713,7.5,0,0,213,62,0
10,large,6,2666,8.1,0,0,146,150,1
7.2,medium,2,789,8.2,0,0,153,159,0
13.6,medium,4,1630,8.4,0,1,196,42,1
23.5,small,8,1196,9.5,1,1,158,124,1
24.2,small,3,1731,9.1,0,1,72,100,1
22.2,small,2,1519,8.1,0,0,101,59,0
8.7,medium,6,1805,6.4,0,0,164,118,1
5,large,2,1970,8.1,0,0,223,199,0
20.4,large,4,1577,7.9,0,0,247,1,0
16.2,large,5,1953,8.4,1,1,197,192,1
23.7,large,6,562,12,1,1,167,172,0
25.6,large,7,2136,7,0,1,195,106,0
21.1,small,7,1650,8.8,1,0,110,123,1
26.1,small,9,1931,10.1,1,1,141,74,0
21.8,small,1,1012,8.2,0,0,101,26,1
24.2,medium,4,1168,12,1,0,75,115,0
14.4,small,1,1558,7.2,0,1,170,164,1
18.6,large,1,1493,8.6,0,0,161,47,0
21.6,medium,3,1613,6.4,0,0,191,144,0
26.6,medium,6,1934,7.3,0,1,183,150,1
16.9,small,9,794,8.5,1,0,165,152,1
24.2,small,8,1890,9.7,1,1,183,69,1
17.9,small,7,1503,8.6,0,0,147,79,1
19.1,large,8,1418,10.5,1,1,175,84,1
26.6,medium,2,912,7.8,1,0,106,171,0
5,medium,9,1701,7.3,1,0,172,181,1
9.6,small,9,534,12,1,1,190,83,0
8.1,small,1,1759,8.8,1,0,110,194,0
5,medium,5,903,6.6,0,1,153,115,0
14.6,medium,9,1521,6.6,1,0,113,78,1
26,medium,5,1452,6.1,1,1,118,1,1
17.7,small,9,1968,9.9,1,1,83,123,1
21.6,large,10,1429,7.3,1,0,226,129,1
28.7,small,5,1222,8.3,0,0,214,194,0
30.6,large,1,1297,7.9,0,1,182,144,1
19.4,small,4,2009,9.5,0,1,268,6,0
30.8,small,3,1715,6.3,0,0,139,114,1
20.7,large,5,1346,5.8,1,0,332,149,0
13.3,small,6,1405,8.4,1,1,136,100,1
15.2,medium,5,873,9.2,1,1,165,86,0
8.2,medium,2,1655,8.7,1,0,126,162,0
12.9,small,4,796,6.4,1,0,172,123,0
17.1,medium,7,1801,9.4,1,1,200,137,1
26.4,large,1,1551,6.5,1,0,143,93,0
33.8,large,3,2455,7,1,0,257,56,0
8.9,small,9,1060,6.1,1,1,164,104,1
23.1,medium,1,1459,10.6,0,0,166,192,0
11.7,small,5,2219,9.3,1,1,95,121,1
23.8,small,3,1977,9.2,1,0,175,142,0
19,small,2,1222,10.5,1,1,142,25,0
5.4,large,5,1590,12,0,0,114,198,1
27.4,large,6,1501,4.6,0,1,103,49,0
15.2,medium,2,1613,6.5,0,0,310,195,0
15.7,medium,1,1221,6.8,1,0,134,90,0
11.4,medium,2,1464,6.3,1,1,63,184,1
14.8,medium,7,861,5.8,1,1,108,179,0
23.4,medium,9,1554,7.4,1,1,147,152,1
18.5,medium,2,1680,5.6,0,0,183,184,0
22.6,small,4,1409,8.7,1,0,183,122,1
22.9,small,4,854,8.1,1,1,191,170,0
30.6,large,4,1895,9,0,1,111,35,1
17.3,medium,3,1646,9,1,0,170,15,0
8.2,large,1,1210,9.2,0,1,97,109,0
28.5,small,6,1388,7.3,1,1,113,162,1
17.3,medium,4,900,12,1,1,95,154,0
28.9,small,4,1090,8.5,1,1,79,106,1
23.1,small,3,1285,4.3,1,1,214,105,0
19,small,10,1991,6,0,1,191,122,0
22.8,small,7,1244,4.5,1,1,209,174,0
35.6,large,5,1756,8,1,1,152,169,1
36.6,small,3,1285,7.8,1,1,197,22,1
20.6,medium,9,1599,7.1,1,0,50,120,1
21.3,medium,9,1443,12,0,1,202,77,1
28.6,medium,1,1849,9.1,1,1,161,160,1
13.2,medium,10,1286,9.5,0,1,188,102,1
22.7,small,7,871,6.1,1,1,173,199,0
19.8,large,1,947,6,0,0,91,87,0
22.5,large,8,1287,8.1,0,1,60,136,1
13.3,medium,2,1000,8.3,0,0,107,22,1
7.3,medium,1,1664,4.3,1,0,184,187,0
5,small,2,1314,7.6,0,0,191,31,0
11.1,large,5,2450,8,0,1,68,76,0
16.3,small,7,805,7.6,1,1,91,168,0
17.7,small,5,1581,6.4,0,1,107,194,1
35.5,small,2,1049,6.9,0,0,129,97,1
28.8,medium,2,1303,7.6,0,0,68,97,0
12.3,medium,9,1557,8.2,0,1,65,10,1
22.8,medium,10,570,9.2,1,0,101,196,1
16.7,medium,8,1595,10.2,1,1,155,4,1
17.7,small,2,2261,7.4,1,1,79,6,0
21.5,large,9,1319,7.1,0,1,143,95,1
25,medium,7,1604,8.9,0,0,214,1,1
17.3,medium,6,1910,9.2,0,0,72,33,1
28.5,small,2,1434,7.1,0,0,138,126,0
10.9,large,10,1268,9.6,1,1,211,142,1
20.1,small,5,590,10,1,0,125,60,0
40.8,small,1,1756,10.6,0,1,116,160,0
21.8,medium,3,1455,11.6,1,0,220,122,0
31.5,small,5,1095,6.3,1,0,132,46,1
20.7,small,1,1551,8,0,0,216,143,0
24.6,medium,4,1267,8,1,1,176,119,0
19.5,small,5,1289,7.8,0,1,129,163,1
18.6,large,10,1743,6.7,0,0,179,31,1
13.8,small,1,965,5,1,1,169,47,0
23.4,medium,6,1919,8.2,1,1,211,61,1
13.2,medium,10,941,6.5,0,1,117,69,1
25.3,medium,9,1235,8.2,1,1,152,178,1
28.7,medium,10,2269,6.4,1,0,146,147,1
22.9,medium,2,1951,5.8,1,0,192,109,0
17.7,large,9,1539,8.5,0,1,88,109,1
23.6,small,10,1124,8.3,1,0,211,178,1
17.5,small,4,1288,9.2,1,0,178,90,0
27.5,medium,5,1529,12,1,0,71,46,0
5.3,large,6,1515,8.6,1,1,222,28,1
17.3,small,5,1464,9,1,0,284,67,1
5,medium,3,1488,5.8,1,0,210,131,0
8,large,10,1414,5.4,1,1,236,95,0
